sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
SXM-6802-G1A	B091DZW226	21.99	40																					false
SXM-6803-G1	B091CM8LDT	13.99	48																					false
SXM-6804-G1	B091DYWQTP	12.59	38																					false
SXM-6805-G1	B091CPQCR1	13.39	49																					false
SXM-6806-G1	B091F2LXPD	14.59	39																					false
SXM-6807-G1	B091CLNDFT	15.19	49																					false
SXM-6807-G1a	B07Z5T6K9K	15.19	30																					false
SXM-6808-G1	B091DZCSPN	15.99	36																					false
SXM-6808-G1a	B07Z5WKT4V	15.99	23																					false
SXM-6809-G1	B091CM4X5H	18.99	47																					false
SXM-6810-G1	B091DZTXLH	20.99	32																					false
SXM-6836-G1	B08MKPTK5K	21.99	52																					false
SXM-6870-G	B08P4M7VNB	54.99	55																					false
SXM-6870-G1b	B089RTKKPZ	56.99	60																					false
SXM-6884-G1	B095795R9P	24.98	12																					
SXM-6913-G1	B08XXZ6QZ2	8.99	30																					
SXM-6914-G1	B08XXYJFG1	8.39	30																					
SXM-6915-G1	B08XXXP6TQ	9.39	30																					
SXM-6916-G1	B08XY1LCFR	8.79	6																					false
SXM-6918-G1	B08XXXZ4JG	9.89	30																					
SXM-6919-G1	B08XXXCF56	11.29	30																					
SXM-6920-G1	B08XXY9GKC	11.59	30																					false
SXM-6921-G1	B08XXY95Q9	12.99	30																					
SXM-6964-G1m	B091H6Z1ND	218.99	30																					
SXM-6965-G1m	B091H64PG1	237.99	30																					
SXM-7023-G1	B08X6QW788	16.99	30																					
SXM-7070-G2	B096SSXNM2	92.99	23																					
SXM-7112-G2	B08ZNF9B2K	18.99	30																					
SXM-7113-G2	B08ZNH5DFJ	18.99	30																					
SXM-7114-G2	B08ZNF8TTR	19.99	30																					
SXM-7115-G2	B08ZNGRJRZ	19.99	30																					
SXM-7116-G2	B08ZNGYS44	20.99	30																					
SXM-7117-G2	B08ZNH1F1T	20.99	30																					
SXM-7131-G1a	B08WC9HGY8	46.99	1																					false
SXM-7135-G1a	B08WBQJK1W	64.00	13																					false
SXM-7201-G1m	B091H9WNH9	306.99	30																					
SXM-7257-G1	B095WBV8BK	64.99	30																					
SXM-7258-G1	B095W99412	85.99	30																					
SXM-7266-G1	B08W2QXNS5	20.99	30																					
SXM-7268-G1m	B091H7QM5S	398.99	30																					
SXM-7279-G1	B08ZHJ3478	48.99	59																					false
SXM-7323-G1	B095789QTL	33.98	20																					
SXM-7328-G1	B0957BFFQH	42.99	10																					
SXM-7333-G1	B09578VF4Q	51.99	10																					
SXM-7492-G1	B07Y27NL64	14.99	47																					false
SXM-7494-G1	B07Y26FR33	22.99	88																					false
SXM-7496-G1	B07Y267QNZ	27.99	60																					false
SXM-7500-G1	B07Y282FGH	14.99	75																					false
SXM-7502-G1	B07Y278V4Y	22.99	65																					false
SXM-7504-G1	B07Y2774P1	27.99	19																					false
SXM-1043-A1b	B08GXSZNXW	24.99																						
SXM-2046DEL-G1d	B08FJ1RJ7G	16.99	0																					
SXM-2825-M1m	B07ZYT3RZ3	18.99	0																					
SXM-2983-G1	B082MJDMR9	102.99	0																					false
SXM-3162-G1y	B08ZSLZ748	36.99	0																					
SXM-3162-G2y	B08ZS8RBYN	68.99	0																					
SXM-3163-G1y	B08ZSJ46YG	36.99	0																					
SXM-3163-G2y	B084FHWNRT	68.99	0																					
SXM-3181-G1	B08BCNC3VZ	112.99	0																					
SXM-3182-G1	B08BCLFJ5H	109.99	0																					
SXM-3183-G1	B08BCN4QYM	109.99	0																					
SXM-3184-G1	B08BBY6MLJ	84.99	0																					
SXM-3185-G1	B08BCL41C3	79.99	0																					
SXM-3186-G1	B08BCPJLDF	79.99	0																					
SXM-3395-G1	B01LCTBWJ0	33.99	0																					
SXM-3669-G1	B082LZ1PDB	15.99	0																					
SXM-3783-G1	B07W4JNR8M	70.99	0																					false
SXM-3784-G1	B07WBW71PT	70.99	0																					false
SXM-3785-G1	B07W4HVKW4	70.99	0																					false
SXM-3786-G1	B07W5MCSFJ	75.99	0																					false
SXM-3787-G1	B07W5N7JQ2	75.99	0																					false
SXM-3788-G1	B07W4HCPYM	75.99	0																					false
SXM-3833-G1	B08BCMYKYB	47.99	0																					
SXM-3834-G1	B08BCMMKTZ	46.99	0																					
SXM-3835-G1	B08BCLVWVC	45.99	0																					
SXM-3836-G1	B08BCMF6TC	32.99	0																					
SXM-3837-G1	B08BCM2SR8	32.99	0																					
SXM-3838-G1	B08BCND72R	32.99	0																					
SXM-3839-G1	B08BCN5YMC	49.99	0																					
SXM-3840-G1	B08BCMGH7L	52.99	0																					
SXM-3841-G1	B08BCN9P4X	51.99	0																					
SXM-3939-G1	B08BCLHLHM	56.99	0																					
